lead_id,name,email,type,status,demo_url,sent_at
jw01,Javier's Custom Welding,javierswelding@outlook.com,initial,sent,https://javiers-custom-welding.netlify.app,2026-05-27T10:39:30.701108
mm01,M & M Portable Welding,mmportablewelding@yahoo.com,initial,sent,https://m-825.netlify.app,2026-05-27T10:43:28.086585
hm01,Humberto's Mobile Welding,humbertosmobilewelding@gmail.com,initial,sent,https://humbertos-mobile-welding.netlify.app,2026-05-27T10:46:04.956993
mw01,Mobileweld Inc,mobileweldinc@gmail.com,initial,sent,https://mobileweld-inc.netlify.app,2026-05-27T10:48:44.444778
sw01,Sam Weathers Welding,samweatherswelding@gmail.com,initial,sent,https://sam-weathers-welding.netlify.app,2026-05-27T10:51:33.551695
hmw01,Heimaster Metal Works,sales@heimastermetalworks.com,initial,sent,https://heimaster-welding.netlify.app,2026-05-27T10:54:30.465574
jg01,JG Mobile Welding,Melanie@jgmobilewelding.com,initial,sent,https://jg-mobile-welding.netlify.app,2026-05-27T10:58:17.344977
ml01,Marathon Welding LLC,travis@marathonweldingllc.com,initial,sent,https://marathon-welding-llc.netlify.app,2026-05-27T11:01:39.350195
ccp01,CCP Mobile Welding,km@ccpservices.us,initial,sent,https://ccp-mobile-welding.netlify.app,2026-05-27T11:03:46.365046
sdm01,San Diego Mobile Welder,vova@sandiegomobilewelder.com,initial,sent,https://san-diego-mobile-welder.netlify.app,2026-05-27T11:07:46.863623
swi01,Sam's Welding Incorporated,samsweldinginc@yahoo.com,initial,sent,,2026-05-29T20:46:28.358444
aw02,Anytime Welding,info@anytimewelding.com,initial,sent,,2026-05-29T20:49:45.735267
aw01,All Welding Pros,allwelding73@gmail.com,initial,sent,https://all-welding-pros.netlify.app,2026-05-29T20:51:31.649206
gw01,Gonzalez Welding Mobile,gwmcarlos@gonzalezwelding.com,initial,sent,https://gonzalez-welding-mobile.netlify.app,2026-05-29T20:55:11.566998
fw01,Ferguson Welding Service,robert.ferguson@fergusonwelding.services,initial,sent,https://ferguson-welding-service.netlify.app,2026-05-29T20:59:16.444194
bw01,Brother's Welding Services,info@brothersweldingservices.com,initial,sent,https://brothers-welding-services.netlify.app,2026-05-29T21:02:57.660501
mgb01,Mig Brothers,contact@migbrothers.com,initial,sent,https://mig-brothers.netlify.app,2026-05-29T21:05:06.059127
cp01,Cano Processing,canoprocessing@gmail.com,initial,sent,https://cano-processing.netlify.app,2026-05-29T21:08:18.561622
jmc01,JMC Welding,jfrias@jmcwelding.com,initial,sent,https://jmc-welding.netlify.app,2026-05-29T21:11:20.172833
rje01,RJE Mobile Welding,rjemobilewelding@yahoo.com,initial,sent,https://rje-mobile-welding.netlify.app,2026-05-29T21:14:13.149419
