business_name,city,phone,demo_url,deployed_at
"Javier's Custom Welding","Bakersfield","(661) 243-6139","https://javiers-custom-welding.netlify.app","2026-05-26T20:13:18.351658"
"Humberto's Mobile Welding","Pomona","(909) 632-5412","https://humbertos-mobile-welding.netlify.app","2026-05-26T20:13:31.142635"
"Mobileweld Inc","San Marcos","(760) 525-3504","https://mobileweld-inc.netlify.app","2026-05-26T20:13:40.397571"
"Sam Weathers Welding","Chico","(530) 520-6924","https://sam-weathers-welding.netlify.app","2026-05-26T20:13:49.776429"
"JG Mobile Welding","Lakeside","(619) 386-0026","https://jg-mobile-welding.netlify.app","2026-05-26T20:13:59.175510"
"Marathon Welding LLC","Bakersfield","(661) 220-2295","https://marathon-welding-llc.netlify.app","2026-05-26T20:14:09.027728"
"CCP Mobile Welding","West Covina","(626) 310-1094","https://ccp-mobile-welding.netlify.app","2026-05-26T20:14:18.328020"
"San Diego Mobile Welder","San Diego","(858) 437-2339","https://san-diego-mobile-welder.netlify.app","2026-05-26T20:14:27.749081"
"All Welding Pros","Rancho Cucamonga","(909) 948-1535","https://all-welding-pros.netlify.app","2026-05-26T20:14:36.972847"
"Gonzalez Welding Mobile","Bay Area","(858) 465-8919","https://gonzalez-welding-mobile.netlify.app","2026-05-26T20:14:46.276896"
"Ferguson Welding Service","Union City","(510) 487-5906","https://ferguson-welding-service.netlify.app","2026-05-26T20:14:55.605295"
"Brother's Welding Services","Bakersfield","(661) 432-7550","https://brothers-welding-services.netlify.app","2026-05-26T20:15:05.571051"
"Sam's Welding Inc","San Diego","(619) 281-2709","https://sams-welding-inc.netlify.app","2026-05-26T20:15:15.183221"
"M & M Portable Welding","Bloomington","(909) 874-5553","https://m-825.netlify.app","2026-05-26T20:23:00.000000"
"Heimaster Metal Works","Lakeside","(619) 390-1922","https://heimaster-welding.netlify.app","2026-05-26T20:24:00.000000"
"Raw Welding Inc","Bakersfield","(661) 391-8789","https://raw-welding-inc.netlify.app","2026-05-26T20:45:00.000000"
"TNTWFM Mobile Welding","San Diego","(619) 402-0120","https://tntwfm-mobile-welding.netlify.app","2026-05-26T20:45:30.000000"
"Noel Welding","Chatsworth","(818) 772-0930","https://noel-welding.netlify.app","2026-05-26T20:46:00.000000"
"Bob's Welding Inc","Anaheim","(714) 535-2511","https://bobs-welding-inc.netlify.app","2026-05-26T20:46:30.000000"
"Morena Welding","San Diego","(619) 275-4829","https://morena-welding.netlify.app","2026-05-26T20:47:00.000000"
"Javier's Custom Welding","Bakersfield","(661) 243-6139","https://javiers-custom-welding.netlify.app","2026-05-27T13:51:02.094794"
"Humberto's Mobile Welding","Pomona","(909) 632-5412","https://humbertos-mobile-welding.netlify.app","2026-05-27T13:51:12.079349"
"Mobileweld Inc","San Marcos","(760) 525-3504","https://mobileweld-inc.netlify.app","2026-05-27T13:51:21.487891"
"Sam Weathers Welding","Chico","(530) 520-6924","https://sam-weathers-welding.netlify.app","2026-05-27T13:51:31.123734"
"JG Mobile Welding","Lakeside","(619) 386-0026","https://jg-mobile-welding.netlify.app","2026-05-27T13:51:40.452926"
"Marathon Welding LLC","Bakersfield","(661) 220-2295","https://marathon-welding-llc.netlify.app","2026-05-27T13:51:50.868019"
"CCP Mobile Welding","West Covina","(626) 310-1094","https://ccp-mobile-welding.netlify.app","2026-05-27T13:52:08.701565"
