business_name,url,screenshot_path,captured_at
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc..png,2026-05-25T23:18:02.375351
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-25T23:18:06.093536
Morena Welding,https://morena-welding.netlify.app,screenshots\morena-welding.png,2026-05-25T23:18:09.616519
California On-Site Welding,https://california-on-site-welding.netlify.app,screenshots\california-on-site-welding.png,2026-05-25T23:18:12.963518
American Mobile Welding,https://american-mobile-welding.netlify.app,screenshots\american-mobile-welding.png,2026-05-25T23:18:16.409259
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc..png,2026-05-25T23:49:15.908468
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-25T23:49:19.191326
Morena Welding,https://morena-welding.netlify.app,screenshots\morena-welding.png,2026-05-25T23:49:22.258882
California On-Site Welding,https://california-on-site-welding.netlify.app,screenshots\california-on-site-welding.png,2026-05-25T23:49:58.119865
American Mobile Welding,https://american-mobile-welding.netlify.app,screenshots\american-mobile-welding.png,2026-05-25T23:50:01.635820
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc..png,2026-05-26T00:39:09.759435
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-26T00:39:13.184701
Morena Welding,https://morena-welding.netlify.app,screenshots\morena-welding.png,2026-05-26T00:39:16.273374
California On-Site Welding,https://california-on-site-welding.netlify.app,screenshots\california-on-site-welding.png,2026-05-26T00:39:19.335827
American Mobile Welding,https://american-mobile-welding.netlify.app,screenshots\american-mobile-welding.png,2026-05-26T00:39:22.378707
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc.png,2026-05-26T00:39:51.451538
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc.png,2026-05-26T01:00:41.650300
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-26T01:00:46.876033
Morena Welding,https://morena-welding.netlify.app,screenshots\morena-welding.png,2026-05-26T01:00:52.712410
California On-Site Welding,https://california-on-site-welding.netlify.app,screenshots\california-on-site-welding.png,2026-05-26T01:00:58.147451
American Mobile Welding,https://american-mobile-welding.netlify.app,screenshots\american-mobile-welding.png,2026-05-26T01:01:03.330079
Sam's Welding Inc.,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc.png,2026-05-26T01:13:05.730552
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-26T01:13:14.736257
Morena Welding,https://morena-welding.netlify.app,screenshots\morena-welding.png,2026-05-26T01:13:23.763490
California On-Site Welding,https://california-on-site-welding.netlify.app,screenshots\california-on-site-welding.png,2026-05-26T01:13:33.059948
American Mobile Welding,https://american-mobile-welding.netlify.app,screenshots\american-mobile-welding.png,2026-05-26T01:13:42.418601
Javier's Custom Welding,https://javiers-custom-welding.netlify.app,screenshots\javiers-custom-welding.png,2026-05-26T20:18:32.894017
Humberto's Mobile Welding,https://humbertos-mobile-welding.netlify.app,screenshots\humbertos-mobile-welding.png,2026-05-26T20:18:40.590649
Mobileweld Inc,https://mobileweld-inc.netlify.app,screenshots\mobileweld-inc.png,2026-05-26T20:18:48.337220
Sam Weathers Welding,https://sam-weathers-welding.netlify.app,screenshots\sam-weathers-welding.png,2026-05-26T20:18:57.834872
JG Mobile Welding,https://jg-mobile-welding.netlify.app,screenshots\jg-mobile-welding.png,2026-05-26T20:19:08.902124
Marathon Welding LLC,https://marathon-welding-llc.netlify.app,screenshots\marathon-welding-llc.png,2026-05-26T20:19:19.411473
CCP Mobile Welding,https://ccp-mobile-welding.netlify.app,screenshots\ccp-mobile-welding.png,2026-05-26T20:19:28.047173
San Diego Mobile Welder,https://san-diego-mobile-welder.netlify.app,screenshots\san-diego-mobile-welder.png,2026-05-26T20:19:36.730646
All Welding Pros,https://all-welding-pros.netlify.app,screenshots\all-welding-pros.png,2026-05-26T20:19:45.376708
Gonzalez Welding Mobile,https://gonzalez-welding-mobile.netlify.app,screenshots\gonzalez-welding-mobile.png,2026-05-26T20:19:53.520193
Ferguson Welding Service,https://ferguson-welding-service.netlify.app,screenshots\ferguson-welding-service.png,2026-05-26T20:20:01.071130
Brother's Welding Services,https://brothers-welding-services.netlify.app,screenshots\brothers-welding-services.png,2026-05-26T20:20:07.712461
Sam's Welding Inc,https://sams-welding-inc.netlify.app,screenshots\sams-welding-inc.png,2026-05-26T20:20:15.780159
M & M Portable Welding,https://m-825.netlify.app,screenshots\m-&-m-portable-welding.png,2026-05-26T20:20:24.984534
Heimaster Metal Works,https://heimaster-welding.netlify.app,screenshots\heimaster-metal-works.png,2026-05-26T20:20:33.548951
