lead_id,business_name,contact_name,phone,email,website,website_quality,city,state,source_url,has_email,has_phone,has_website,priority,scraped_at,demo_url,email_sent_at,email_status,batch_day,funnel_stage,responded,notes,pipeline_stage
ca001,Mad Man Mobile Welder and Mechanic,,(559) 285-6014,,,unknown,Fresno CA,CA,http://madmanmobilewelderandmechanic.localsearch.com/,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca002,Verduzco Ag Mobile Welding,,(559) 400-4586,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca003,G&B Mobile Welding Inc,,(559) 255-7907,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca004,Modern Welding of California,,(559) 275-9353,,http://www.modweldco.com/,unknown,Fresno CA,CA,http://www.modweldco.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca005,Rand Welding & Fabrication,,(559) 233-0316,,http://www.randmachineworks.com/,unknown,Fresno CA,CA,http://www.randmachineworks.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca006,Barnes Welding,,(559) 432-9353,,http://ramweldingsupply.com/,unknown,Fresno CA,CA,http://ramweldingsupply.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca007,Unique Universal Welding,,(559) 369-6938,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca008,Morelos & Welding,,(559) 237-2772,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca009,Advanced Welding & Fabrication,,(559) 840-2949,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca010,Mayfield Welding Inc,,(559) 237-2031,,http://www.mayfieldweldinginc.com/,unknown,Fresno CA,CA,http://www.mayfieldweldinginc.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca011,Performance Welding & Machine Inc,,(559) 233-0042,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca012,Ghazarian Welding & Fabrication,,(559) 233-1210,,http://www.ghazarianwelding.com/,unknown,Fresno CA,CA,http://www.ghazarianwelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca013,Ogden Welding,,(559) 454-1132,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca014,Mike's Welding & Fabrication,,(559) 960-2570,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca015,Maylo Welding,,(559) 403-6814,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca016,Wildwest Welding-Fab Consulting,,(559) 312-3811,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca017,AAA Welding Shop & Portable,,(559) 237-5181,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca018,Diamond Welding,,(559) 268-9999,,https://www.diamondweldindustries.com/,unknown,Fresno CA,CA,https://www.diamondweldindustries.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca019,Process Welding Fab & Engineering,,(559) 579-7497,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca020,Vulcan Welding & Fabrication,,(559) 981-5431,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca021,Young B's Welding,,(559) 288-5826,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca022,Faustino Welding,,(559) 312-8604,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca023,John's Welding & Repairs,,(559) 834-3331,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca024,Sal's Welding & Fabrication,,(559) 275-1726,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca025,Derek Lincoln Portable Welding,,(559) 434-0864,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca026,James Mark Welding,,(559) 917-5710,,,unknown,Fresno CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca027,A1 Fabrication & Welding,,(916) 349-8700,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca028,S & H Welding Inc,,(916) 661-6410,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca029,Lincoln Welding & Machine,,(916) 442-4787,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca030,Lawson's Welding & Service,,(916) 708-9038,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca031,Custom Welding,,(916) 738-2835,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca032,Overnight Welding Works,,(916) 706-1589,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca033,Eagle Weld,,(916) 382-4555,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca034,Mr. B's Welding and Fabrication,,(916) 275-7272,,http://www.mrbsweldingandfabrication.com/,unknown,Sacramento CA,CA,http://www.mrbsweldingandfabrication.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca035,Top Pick Mobile Welding,,(209) 304-6271,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca036,Advanced Welding Service,,(916) 804-7196,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca037,Taurus Welding Inc,,(916) 812-2855,,https://tauruswelding.com/,unknown,Sacramento CA,CA,https://tauruswelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca038,Jay's Mobile Welding & Fabricating,,(916) 203-8082,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca039,Aaron's Mobile Welding,,(916) 717-1059,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca040,Navarro Brother's Welding Co,,(916) 731-8452,,,unknown,Sacramento CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca041,Halm Metal Fab,,(916) 992-6131,,http://halmmetalfab.com/,unknown,Sacramento CA,CA,http://halmmetalfab.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca042,Benito's Iron Works,,(323) 364-0078,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca043,Hollywood Welding Works,,(323) 465-3137,,http://www.hollywoodwelding.com/,unknown,Los Angeles CA,CA,http://www.hollywoodwelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca044,Aero Space Welding Inc,,(310) 914-0324,,http://aerospace-welding.com/,unknown,Los Angeles CA,CA,http://aerospace-welding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca045,W M Welding & Fabricating Service,,(323) 712-1375,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca046,Martin Welding Works,,(213) 453-1253,,https://www.martinweldingworksllc.net/,unknown,Los Angeles CA,CA,https://www.martinweldingworksllc.net/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca047,L.A. City Welder,,(323) 480-7802,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca048,Cwelding Services,,(562) 879-9376,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca049,La City Certified Mobile Welding,,(213) 822-4509,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca050,Luis Steel Welding,,(213) 536-5990,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca051,Quality Steel Welding,,(323) 223-7545,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca052,Fab Works Pro,,(323) 649-3893,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca053,O K Welding,,(323) 750-3394,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca054,S & S Welding,,(323) 587-1332,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca055,Batten Welding Artistic,,(323) 484-9750,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca056,Artistic Welding Workshop,,(323) 778-4581,,http://artisticweldingworkshop.com/,unknown,Los Angeles CA,CA,http://artisticweldingworkshop.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca057,BNC Welding,,(323) 589-8872,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca058,Alonsos Welding Svc,,(323) 264-3942,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca059,Hector's Welding,,(323) 759-1816,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca060,Mario's Welding,,(323) 751-3670,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca061,L.A. Certified Welder,,(213) 703-4832,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca062,VMR Welding Services,,(213) 448-9306,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca063,Professional Welding,,(310) 642-0112,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca064,Kelly's Block Welding,,(310) 827-6795,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca065,Dennis 24 Hour Welding,,(310) 473-0397,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca066,Montoya Welding Services,,(310) 213-5922,,,unknown,Los Angeles CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
swi01,Sam's Welding Incorporated,,(619) 281-2709,samsweldinginc@yahoo.com,https://www.samsweldinginc.com/,good,San Diego,CA,https://www.samsweldinginc.com/,true,true,true,3,2026-05-26,https://sams-welding-inc.netlify.app,,,scraped,,existing lead,,screenshotted
ca067,Jeff's Stainless Solutions,,(858) 566-0208,,http://jeffsstainless.com/,unknown,San Diego CA,CA,http://jeffsstainless.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca068,Livin Metal,,(619) 300-8782,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca069,Empire Welding,,(619) 887-4670,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca070,Iron Welding International,,(619) 623-8459,,http://ironlioninternational.com/,unknown,San Diego CA,CA,http://ironlioninternational.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca071,Jerry's Welding & Machine Inc,,(858) 565-4800,,https://jerryswelding.com/,unknown,San Diego CA,CA,https://jerryswelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca072,Ski's Mobile Welding,,(619) 283-7744,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca073,San Diego Golden Gate Welding,,(619) 338-0952,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca074,Ken Miller Welding,,(619) 807-6743,,http://kenmillerwelding.com/,unknown,San Diego CA,CA,http://kenmillerwelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca075,Stanley Welding Service,,(858) 395-5079,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
mw02,Morena Welding Inc,,(619) 275-4829,,https://morenawelding.com/,basic,San Diego,CA,https://morenawelding.com/,false,true,true,1,2026-05-27,https://morena-welding.netlify.app,,,scraped,,PHONE-ONLY,,screenshotted
ca076,All Around Mobile Welding & Fabrication,,(619) 987-3511,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca077,Dobson & Gores Welding,,(619) 232-5809,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca078,Craftec Welding,,(619) 696-9348,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca079,Chuck's Custom Welding & Fabrication,,(619) 459-6494,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca080,D & C Q Welding,,(858) 270-8523,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca081,George's Welding,,(858) 395-1877,,http://www.georgeswelding.com/,unknown,San Diego CA,CA,http://www.georgeswelding.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca082,Westech Metal Fabrication Inc,,(619) 702-9353,,http://westechmetalfab.com/,unknown,San Diego CA,CA,http://westechmetalfab.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca083,Kearny Mesa Welding,,(619) 933-4766,,,unknown,San Diego CA,CA,,false,true,false,1,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
ca084,Metal Master Inc,,(858) 292-8880,,http://www.metalmasterinc.com/,unknown,San Diego CA,CA,http://www.metalmasterinc.com/,false,true,true,2,2026-05-28,,,,scraped,,,YP batch 2026-05-28,scraped
