lead_id,business_name,contact_name,phone,email,website,website_quality,city,state,source_url,has_email,has_phone,has_website,priority,scraped_at,demo_url,email_sent_at,email_status,batch_day,funnel_stage,responded,notes,pipeline_stage
swi01,Sam's Welding Incorporated,,(619) 281-2709,samsweldinginc@yahoo.com,https://www.samsweldinginc.com/,good,San Diego,CA,https://www.samsweldinginc.com/,true,true,true,3,2026-05-26,https://sams-welding-inc.netlify.app,2026-05-28T10:49:06.136189,sent,scraped,initial,existing lead,,emailed
mw02,Morena Welding Inc,,(619) 275-4829,,https://morenawelding.com/,basic,San Diego,CA,https://morenawelding.com/,false,true,true,1,2026-05-27,https://morena-welding.netlify.app,2026-05-28T11:00:16.599159,,scraped,contacted,PHONE-ONLY,,phone_sent
aw02,Anytime Welding,,(408) 279-3292,info@anytimewelding.com,https://www.anytimewelding.com/,good,San Jose,CA,https://www.anytimewelding.com/,True,True,True,3,2026-05-27,https://anytime-welding-inc.netlify.app,2026-05-28T10:52:37.615282,sent,scraped,initial,,Firecrawl batch 2026-05-27,emailed
jw01,Javier's Custom Welding,,(661) 243-6139,javierswelding@outlook.com,https://javierscustomwelding.com/,good,Bakersfield,CA,https://javierscustomwelding.com/,true,true,true,3,2026-05-26,https://javiers-custom-welding.netlify.app,2026-05-27T10:39:30.702113,sent,scraped,initial,,,emailed
rw01,Raw Welding,,(661) 391-8789,,https://rawwelding.com/,basic,Bakersfield,CA,https://rawwelding.com/contact-us,false,true,true,1,2026-05-26,https://raw-welding-inc.netlify.app,2026-05-28T11:00:16.599159,,scraped,contacted,PHONE-ONLY, 24/7,phone_sent
mm01,M & M Portable Welding,,(909) 874-5553,mmportablewelding@yahoo.com,https://www.mmportablewelding.net/,good,Bloomington,CA,https://www.mmportablewelding.net/,true,true,true,3,2026-05-26,https://m-825.netlify.app,2026-05-27T10:43:28.115789,sent,scraped,initial,,,emailed
hm01,Humberto's Mobile Welding,,(909) 632-5412,humbertosmobilewelding@gmail.com,https://humbertosmobilewelding.com/,basic,Pomona,CA,https://humbertosmobilewelding.com/,true,true,true,3,2026-05-26,https://humbertos-mobile-welding.netlify.app,2026-05-27T10:46:06.302299,sent,scraped,initial,,,emailed
mw01,Mobileweld Inc,,(760) 525-3504,mobileweldinc@gmail.com,https://www.mobileweldsd.com/,good,San Marcos,CA,https://www.mobileweldsd.com/,true,true,true,3,2026-05-26,https://mobileweld-inc.netlify.app,2026-05-27T10:49:58.174607,sent,scraped,initial,AWS certified,,emailed
sw01,Sam Weathers Welding,,(530) 520-6924,samweatherswelding@gmail.com,https://www.weatherswelding.com/,basic,Chico,CA,https://www.weatherswelding.com/,true,true,true,3,2026-05-26,https://sam-weathers-welding.netlify.app,2026-05-27T10:53:29.030210,sent,scraped,initial,mobile specialist,,emailed
hmw01,Heimaster Metal Works,,(619) 390-1922,sales@heimastermetalworks.com,https://heimastermetalworks.com/,good,Lakeside,CA,https://heimastermetalworks.com/,true,true,true,3,2026-05-26,https://heimaster-welding.netlify.app,2026-05-27T10:54:30.487705,sent,scraped,initial,16 years exp,,emailed
